activityinstanceid,activitycustomerkey,automationname,activityinstancestarttime_utc,activityinstanceendtime_utc,activityname,activityinstancestatus,activityinstancestatusdetails,duration
71B46947-8710-4E8B-8E2F-31590C472B7B,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/26/2023 1:43:56 PM,3/26/2023 1:44:45 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
8A62307D-D6A0-4A69-BC01-0F3211D751A4,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/25/2023 6:42:24 PM,3/25/2023 6:42:46 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,0
316B867B-3B8E-45E3-9667-798F6698E4B7,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/26/2023 4:42:49 PM,3/26/2023 4:43:38 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
8E2AE922-E585-4803-882B-E42EB2A0D243,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/18/2023 5:42:24 PM,3/18/2023 5:42:49 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,0
AEB21F94-7C9B-4DBC-884F-53C5853C695C,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/20/2023 7:42:23 AM,3/20/2023 7:42:47 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,0
F0BFA0E2-A44D-49A8-A536-703C6DFE53FD,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/25/2023 8:42:38 PM,3/25/2023 8:43:45 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
EE30CC51-9E02-46F5-B1B3-54AAC3566B91,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/19/2023 3:42:46 PM,3/19/2023 3:43:33 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
7F3F24D0-3BC5-47EE-B693-77D27D81B92C,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/25/2023 9:42:30 AM,3/25/2023 9:43:26 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
56F41F7D-ED0B-45E7-89D0-54322CBD313F,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/23/2023 12:42:56 AM,3/23/2023 12:43:41 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
DCE633AC-ABF4-465B-8956-284E41AFC4FA,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/20/2023 2:42:37 PM,3/20/2023 2:43:21 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
